,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
3296,biden defends civil rights record after clash with harris,fear,"[[""civil rights record after clash with harris""]]",civil rights record after clash with harris,5,13,3
597,michael bennet knows what’s wrong with america,pride,"[[""knows what’s wrong with america""]]",knows what’s wrong with america,6,14,11
529,the unique way glasgow takes drugs is killing its drug users,annoyance,"[[""takes drugs is killing its drug users""]]",takes drugs is killing its drug users,8,14,1
2013,french satirist bemoans 'stupid' new york times cartoon ban,anger,"[[""new york times cartoon ban""]]",new york times cartoon ban,12,17,0
4432,"sri lankan gov't responds to unprecedented attacks with surveillance, social media blackout, curfew",disgust,"[[""surveillance, social media blackout, curfew""]]","surveillance, social media blackout, curfew",15,24,2
3673,brexit preference ‘first question to ask on first date’,negative_surprise,"[[""‘first question to ask on first date’""]]",‘first question to ask on first date’,5,13,8
691,canvassing the 55 percent of rural voters wanting medicare for all,positive_surprise,"[[""rural voters wanting medicare for all""]]",rural voters wanting medicare for all,7,14,10
496,police and protesters clash on hong kong anniversary,negative_surprise,"[[""clash on hong kong anniversary""]]",clash on hong kong anniversary,4,10,8
4887,"no one likes you, bill de blasio",disgust,"[[""no one likes you""]]",no one likes you,1,4,2
1821,birthday boy jason momoa is immune to dad bod comments and living his best life,joy,"[[""dad bod comments and living his best life""]]",dad bod comments and living his best life,11,19,5
4457,alabama governor denies reprieve for condemned killer,guilt,"[[""denies reprieve for condemned killer""]]",denies reprieve for condemned killer,5,11,4
3462,cbs portrays human smugglers as humanitarians in misguided border coverage,disgust,"[[""human smugglers as humanitarians in misguided border coverage""]]",human smugglers as humanitarians in misguided border coverage,4,17,2
2266,dan crenshaw has message for pelosi after ocasio-cortez suggests she’s racist,anger,"[[""suggests she’s racist""]]",suggests she’s racist,20,24,0
3351,manchester city accuse uefa of leaks amid champions league ban threat,disgust,"[[""accuse uefa of leaks amid champions league ban threat""]]",accuse uefa of leaks amid champions league ban threat,4,17,2
2171,panic over war with iran is an info operation to preserve the iran deal,fear,"[[""iran""]]",iran,5,6,3
2467,rubio trashes ilhan omar for blaming u.s. for venezuelan problems,disgust,"[[""blaming u.s. for venezuelan problems""]]",blaming u.s. for venezuelan problems,10,22,2
3076,"george kelling, father of 'broken windows' policing, dies",sadness,"[[""father of 'broken windows' policing""]]",father of 'broken windows' policing,7,13,12
1263,exclusive: juanita broaddrick on bill clinton's jeffrey epstein statement: 'your denials are worthless',disgust,"[[""your denials are worthless""]]",your denials are worthless,24,28,2
2453,alex jones caught in vile racist ritual,disgust,"[[""caught in vile racist ritual"",""vile racist ritual""]]",caught in vile racist ritual,5,10,2
4159,wife-killer who stopped at applebee’s in bid to cover his tracks gets 15 years in plea deal,sadness,"[[""gets 15 years in plea deal""]]",gets 15 years in plea deal,17,22,12
1570,"us ambassador gives health update on journalist attacked by antifa, demands justice dept. investigate",anger,"[[""journalist attacked by""]]",journalist attacked by,7,9,0
1099,police union rips buttigieg: using shooting to score campaign points,disgust,"[["": using shooting to score campaign points""]]",: using shooting to score campaign points,8,14,2
1418,"former head of security of festival where mass shooting happened, speaks out",sadness,"[[""speaks out""]]",speaks out,12,13,12
2367,video shows fiery aftermath of suspected attack on tanker,fear,"[[""suspected attack on tanker""]]",suspected attack on tanker,6,9,3
4137,the unmaking of the british working class,disgust,"[[""the unmaking of the british working class""]]",the unmaking of the british working class,1,10,2
2819,london minicab driver is critically ill after suffering a heart attack after men attacked his cab,sadness,"[[""attacked his cab""]]",attacked his cab,17,19,12
3411,"trump administration considers scaling back its north korea ambitions, but trump's lies stay big",anger,"[[""scaling back its north korea ambitions, but trump's lies stay big""]]","scaling back its north korea ambitions, but trump's lies stay big",5,23,0
3964,america!: animal influencers of the nineteen-twenties,positive_surprise,"[[""the nineteen-twenties""]]",the nineteen-twenties,10,13,10
1912,suspects in killing of off-duty lapd officer identified,guilt,"[[""suspects in killing of off-duty lapd officer identified""]]",suspects in killing of off-duty lapd officer identified,1,11,4
2509,eating fish may help city kids with asthma breathe better,positive_anticipation_including_optimism,"[[""help city kids with asthma breathe better""]]",help city kids with asthma breathe better,4,12,9
779,meet the underground feminist group that provided abortions before “roe”,annoyance,"[[""that provided abortions before “roe”""]]",that provided abortions before “roe”,6,14,1
3755,rachel roddy's recipe for salmoriglio – aka sicilian lemon sauce | a kitchen in rome,pride,"[[""rachel roddy's recipe for salmoriglio""]]",rachel roddy's recipe for salmoriglio,1,14,11
1112,"rnc chairwoman 'personally' supports rape, incest exceptions to abortion bans",trust,"[[""supports rape, incest exceptions to abortion bans""]]","supports rape, incest exceptions to abortion bans",8,18,14
3273,a clip of beyonce’s candid courtside moment is reverberating across the internet,negative_surprise,"[[""reverberating across the internet""]]",reverberating across the internet,16,22,8
18,enbridge is behind this front group pushing the company’s line 3 oil pipeline,positive_surprise,"[[""is behind this front group pushing the company’s line 3 oil pipeline""]]",is behind this front group pushing the company’s line 3 oil pipeline,3,16,10
2559,rhetoric from “the squad” promotes left wing terror,fear,"[[""promotes left wing terror""]]",promotes left wing terror,7,10,3
1488,"nike fiscal q3 rev. $9.6 billion, in line with expectations",positive_anticipation_including_optimism,"[[""$9.6 billion, in line with expectations""]]","$9.6 billion, in line with expectations",9,18,9
89,mexican cartels fight for control of border state prison,anger,"[[""control of border state prison""]]",control of border state prison,8,12,0
3441,"‘final fantasy vii’ remake might not just ignore sjw complaints, but spite them",negative_surprise,"[[""ignore sjw complaints, but spite them""]]","ignore sjw complaints, but spite them",11,19,8
4983,russia is tricking gps to protect putin,negative_surprise,"[[""tricking gps to protect putin""]]",tricking gps to protect putin,5,12,8
4125,south africa says unemployment at highest level in a decade,negative_surprise,"[[""unemployment at highest level in a decade""]]",unemployment at highest level in a decade,6,12,8
4138,the aftermath of deadly tornadoes in missouri,sadness,"[[""the aftermath of deadly tornadoes in missouri""]]",the aftermath of deadly tornadoes in missouri,1,9,12
4319,denver hospital saw three times more marijuana-related er visits after legalization,sadness,"[[""visits after legalization""]]",visits after legalization,12,15,12
3966,an ageing world needs more resourceful robots,positive_anticipation_including_optimism,"[[""needs more resourceful robots""]]",needs more resourceful robots,5,9,9
3357,mueller requests that long-time aide be sworn in as a witness at house hearings: report,trust,"[[""requests that long-time aide be sworn in as a witness at house hearings: report"",""be sworn in as a witness at house hearings: report""]]",requests that long-time aide be sworn in as a witness at house hearings: report,4,20,14
1090,"politico playbook pm: trump, in a familiar tactic, mocks biden’s ‘energy’",disgust,"[[""mocks biden’s ‘energy’""]]",mocks biden’s ‘energy’,17,25,2
2893,veteran journalist writes horrifying account of donald trump raping her 23 years ago,fear,"[[""raping her 23 years ago"",""donald trump raping her 23 years ago""]]",raping her 23 years ago,13,18,3
882,"video shows serial robber who has hit 11 businesses in l.a. area, police say",negative_surprise,"[[""has hit 11 businesses in l.a. area, police say""]]","has hit 11 businesses in l.a. area, police say",8,20,8
703,democrats rip mcconnell for promising to fill potential scotus vacancy in 2020,anger,"[[""promising to fill potential scotus vacancy in 2020""]]",promising to fill potential scotus vacancy in 2020,9,18,0
1289,new research shows the european union's anti-gmo rules are ridiculously bad,disgust,"[[""european union's anti-gmo rules are ridiculously bad""]]",european union's anti-gmo rules are ridiculously bad,5,19,2
1779,today’s front pages: ‘lyra’s legacy’ and indyref2,joy,"[[""lyra’s legacy’ and indyref2""]]",lyra’s legacy’ and indyref2,8,19,5
4064,"gunfire from mexico crossed border and hit texas woman in face, believe police",sadness,"[[""gunfire from mexico crossed border and hit texas woman in face""]]",gunfire from mexico crossed border and hit texas woman in face,1,15,12
