,headline,dominant_emotion,cause,cause_span,start_index,end_index
2964,scientists detect the earliest big bang molecule in space,positive_surprise,"[[""the earliest big bang molecule in space""]]",the earliest big bang molecule in space,3,9
29,free speech! white house refuses to sign new zealand censorship call,negative_surprise,"[[""free speech! white house refuses to sign new zealand censorship call""]]",free speech! white house refuses to sign new zealand censorship call,1,14
2818,liz warren is stunned when a voter confronts her for claiming native american heritage,negative_surprise,"[[""confronts her for claiming native american heritage""]]",confronts her for claiming native american heritage,10,18
1939,“game of thrones” leaned hard into fan service—and it totally worked,positive_surprise,"[[""leaned hard into fan service—and it totally worked""]]",leaned hard into fan service—and it totally worked,7,16
3013,nucor plans to build $1.35 bln steel mill in kentucky,positive_anticipation_including_optimism,"[[""build $1.35 bln steel mill in kentucky""]]",build $1.35 bln steel mill in kentucky,6,19
3021,"as epa insists weed killer roundup is safe, a jury orders monsanto to pay $2b to couple with cancer",positive_surprise,"[[""jury orders monsanto to pay $2b to couple with cancer""]]",jury orders monsanto to pay $2b to couple with cancer,13,26
973,donald trump’s worsening obstruction of justice antics won’t end well for him,annoyance,"[[""antics won’t end well for him""]]",antics won’t end well for him,14,22
1652,"earthquakes shook california this week. more could come, but predicting them isn’t easy.",negative_surprise,"[[""earthquakes shook california this week. more could come, but predicting them isn’t easy.""]]","earthquakes shook california this week. more could come, but predicting them isn’t easy.",1,23
3434,woman chronicles her daring mission to rescue her airpod from subway tracks,positive_surprise,"[[""rescue her airpod from subway tracks""]]",rescue her airpod from subway tracks,7,14
2801,janet street-porter sorry boris but fat people are costing the nhs as much as smokers,negative_surprise,"[[""but fat people are costing the nhs as much as smokers""]]",but fat people are costing the nhs as much as smokers,11,23
4006,'it didn’t have to be like this': mom describes toddler's agonizing death after ice custody,sadness,"[[""describes toddler's agonizing death after ice custody"",""agonizing death after ice custody""]]",describes toddler's agonizing death after ice custody,14,25
63,"it will cost $600,000 to cover up george washington mural that 'traumatized' san fran high school students",negative_surprise,"[[""san fran high school students""]]",san fran high school students,22,28
3004,f1: williams drivers george russell and robert kubica prepare for long-term recovery,positive_anticipation_including_optimism,"[[""prepare for long-term recovery"",""drivers george russell and robert kubica prepare for long-term recovery""]]",prepare for long-term recovery,20,25
4004,"wwii plane rescued from boneyard flies again, heads for d-day ceremonies",pride,"[[""heads for d-day ceremonies""]]",heads for d-day ceremonies,12,17
3283,almost no one can stop 8chan. so cloudflare is.,negative_surprise,"[[""almost no one can stop 8chan. so cloudflare is.""]]",almost no one can stop 8chan. so cloudflare is.,1,15
4171,epoch times publisher pens fiery letter accusing nbc news reporters of asking inappropiate questions,disgust,"[[""accusing nbc news reporters of asking inappropiate questions"",""pens fiery letter accusing nbc news reporters of asking inappropiate questions""]]",accusing nbc news reporters of asking inappropiate questions,10,23
2917,5 winners and 18 losers from the democratic presidential fundraising quarter,positive_surprise,"[[""fundraising quarter""]]",fundraising quarter,11,12
1839,duke energy applauds trump decision on uranium production,joy,"[[""applauds trump decision on uranium production""]]",applauds trump decision on uranium production,3,11
3082,officials announce new investigation into infamous atlanta child murders,negative_anticipation_including_pessimism,"[[""investigation into infamous atlanta child murders"",""announce new investigation into infamous atlanta child murders""]]",investigation into infamous atlanta child murders,4,11
2000,"'you're a white supremacist, laura': joaquin castro feuds with fox news host",anger,"[[""joaquin castro feuds with fox news host""]]",joaquin castro feuds with fox news host,17,27
2241,"after letter from former undocumented employees, trump feigns ignorance",negative_surprise,"[[""trump feigns ignorance""]]",trump feigns ignorance,11,17
2389,carrie underwood immortalized in cheese sculpture at milwaukee stop of cry pretty tour,pride,"[[""sculpture at milwaukee stop of cry pretty tour""]]",sculpture at milwaukee stop of cry pretty tour,9,20
4170,donald trump goes completely off the deep end during rally,anger,"[[""goes completely off the deep end during rally""]]",goes completely off the deep end during rally,5,12
4750,"homelessness among michigan’s children: the problem is far larger, and more diverse, than you think",sadness,"[[""homelessness among michigan’s children: the problem is far larger, and more diverse, than you think""]]","homelessness among michigan’s children: the problem is far larger, and more diverse, than you think",1,23
3026,"blue and white leaders concede defeat in israeli elections, promise staunch opposition to netanyahu's rule",positive_surprise,"[[""israeli elections, promise staunch opposition to netanyahu's rule""]]","israeli elections, promise staunch opposition to netanyahu's rule",9,25
2349,the latest white house absurdity on mueller is shocking. even for trump.,anger,"[[""mueller is shocking""]]",mueller is shocking,8,12
1289,new research shows the european union's anti-gmo rules are ridiculously bad,disgust,"[[""european union's anti-gmo rules are ridiculously bad""]]",european union's anti-gmo rules are ridiculously bad,5,19
1997,robert redford says impeaching trump is pointless if there will be ‘no planet to live on’,negative_surprise,"[[""impeaching trump is pointless if there will be ‘no planet to live on’""]]",impeaching trump is pointless if there will be ‘no planet to live on’,6,23
1520,sudan’s military overthrows president omar al-bashir,negative_surprise,"[[""overthrows president omar al-bashir""]]",overthrows president omar al-bashir,6,15
1681,iranian proxies play a key role in trump's hawks push for armed conflict,positive_surprise,"[[""trump's hawks push for armed conflict"",""play a key role in trump's hawks push for armed conflict""]]",trump's hawks push for armed conflict,12,21
3742,ny times tries to backpedal after publishing ‘abhorrent’ anti-semitic cartoon in international edition,shame,"[[""‘abhorrent’ anti-semitic cartoon in international edition""]]",‘abhorrent’ anti-semitic cartoon in international edition,11,24
730,high-income households in high-tax states were big winners in gop tax overhaul,positive_surprise,"[[""tax overhaul""],[""high-income households""]]",tax overhaul,16,17
2648,"prosecutors: islamist planned to run over pedestrians with u-haul in national harbor, maryland",guilt,"[[""planned to run over pedestrians with u-haul in national harbor, maryland""]]","planned to run over pedestrians with u-haul in national harbor, maryland",6,22
3511,af units ordered to take day to address increased suicides,negative_anticipation_including_pessimism,"[[""take day to address increased suicides""]]",take day to address increased suicides,6,12
2214,"july wti oil down $2.13, or 4%, to settle at $51.14/bbl",negative_surprise,"[[""oil down $2.13, or 4%""]]","oil down $2.13, or 4%",6,15
181,trump labels mueller probe an ‘attempted coup’,annoyance,"[[""‘attempted coup’""]]",‘attempted coup’,9,12
1975,democrats forget the flint water crisis was caused by a bold new infrastructure plan,guilt,"[[""flint water crisis was caused by a bold new infrastructure plan""]]",flint water crisis was caused by a bold new infrastructure plan,5,16
1535,the psychological effects of grieving on social media,negative_surprise,"[[""of grieving on social media""]]",of grieving on social media,4,10
1449,insane video shows viking sky cruise ship thrown into chaos at sea,fear,"[[""ship thrown into chaos at sea""]]",ship thrown into chaos at sea,9,14
